,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
1700089,I-200-20345-951695,Certified,2020-12-17,Architectural Drafters,"Novus Construction, Inc.",Falls Church,California,58136.0,Virginia,8683619.0
1700090,I-200-20345-950280,Certified,2020-12-17,Computer Systems Analysts,Innoflexion Technologies Inc.,Glastonbury,California,81453.0,Connecticut,3626205.0
1700091,I-200-20346-952036,Certified,2020-12-17,"Software Developers, Systems Software",Hewlett Packard Enterprise Company,San Jose,California,170872.0,California,39029342.0
1700092,I-200-20345-948965,Certified,2020-12-17,"Software Developers, Applications","Pjm Interconnection, Llc.",Audubon,California,121909.0,Pennsylvania,12972008.0
1700093,I-200-20346-952033,Certified,2020-12-17,Financial Analysts,Steadfast Financial Lp,San Francisco,California,143832.0,California,39029342.0
1700094,I-200-20345-951582,Certified,2020-12-17,Database Architects,"Softheon, Inc.",Chester Springs,California,74090.0,Pennsylvania,12972008.0
1700095,I-200-20345-948893,Certified,2020-12-17,"Physicians And Surgeons, All Other",Pinnacle Health Medical Services,Harrisburg,California,124509.0,Pennsylvania,12972008.0
1700096,I-200-20345-950712,Certified,2020-12-17,"Software Developers, Applications","Caris Science, Inc.",Irving,California,110344.0,Texas,30029572.0
1700097,I-200-20345-950259,Certified,2020-12-17,Electrical Engineers,General Motors Company,Warren,California,81827.0,Michigan,10034113.0
1700098,I-200-20345-949399,Certified,2020-12-17,Computer Systems Engineers/Architects,Amgen Incorporated,Thousand Oaks,California,111238.0,California,39029342.0
1700099,I-200-20345-948698,Certified,2020-12-17,"Medical Scientists, Except Epidemiologists",Trustees Of The University Of Pennsylvania,Philadelphia,California,64501.0,Pennsylvania,12972008.0
1700100,I-200-20346-952127,Certified,2020-12-17,Computer Systems Engineers/Architects,"Fiserv Solutions, Llc",Irving,California,93538.0,Texas,30029572.0
1700101,I-200-20345-950659,Certified,2020-12-17,"Software Developers, Applications",Lasai Technologies Llc,Bellevue,California,113110.0,Washington,7785786.0
1700102,I-200-20345-950183,Certified,2020-12-17,"Software Developers, Applications",Qpoint Health Llc,Phoenix,California,118602.0,Arizona,7359197.0
1700103,I-200-20345-950678,Certified,2020-12-17,"Software Developers, Applications","Fidelity Technology Group, Llc",Merrimack,California,96242.0,New Hampshire,1395231.0
1700104,I-200-20345-950771,Certified,2020-12-17,Marine Engineers And Naval Architects,American Bureau Of Shipping,Spring,California,87277.0,Texas,30029572.0
1700105,I-200-20345-949310,Certified,2020-12-17,"Software Developers, Applications","Citibank, N.a.",New York,California,100526.0,New York,19677151.0
1700106,I-200-20346-952084,Certified,2020-12-17,Business Intelligence Analysts,"Cloudflare, Inc.",San Francisco,California,145205.0,California,39029342.0
1700107,I-200-20345-950797,Certified,2020-12-17,"Software Developers, Applications","Twitter, Inc.",San Francisco,California,120931.0,California,39029342.0
1700108,I-200-20345-949434,Certified,2020-12-17,"Software Developers, Applications","Morningstar, Inc.",Chicago,California,104624.0,Illinois,12582032.0
1700109,I-200-20345-951614,Certified,2020-12-17,Mechanical Engineers,Cummins Inc.,Columbus,California,80642.0,Indiana,6833037.0
1700110,I-200-20345-948931,Certified,2020-12-17,Biostatisticians,The Research Institute At Nationwide Children's Hospital,Columbus,California,60611.0,Ohio,11756058.0
1700111,I-200-20345-949352,Certified,2020-12-17,Operations Research Analysts,Utah State University,Logan,California,45074.0,Utah,3380800.0
1700112,I-200-20345-949622,Certified,2020-12-17,Instructional Coordinators,Amazon.com Services Llc.,Seattle,California,60507.0,Washington,7785786.0
1700113,I-200-20345-950639,Certified,2020-12-17,Computer And Information Systems Managers,"Wilsonart, Llc",Belton,California,104187.0,Texas,30029572.0
1700114,I-200-20345-948666,Certified,2020-12-17,Market Research Analysts And Marketing Specialists,"Agora Data, Inc",Arlington,California,92914.0,Texas,30029572.0
1700115,I-200-20346-952052,Certified,2020-12-17,"Software Developers, Applications",Intuit Inc.,San Diego,California,98592.0,California,39029342.0
1700116,I-200-20345-949799,Certified,2020-12-17,Data Warehousing Specialists,Dow Jones And Company,New York,California,114962.0,New York,19677151.0
1700117,I-200-20345-950832,Certified,2020-12-17,Computer Systems Analysts,Valero Energy Corporation,San Antonio,California,118914.0,Texas,30029572.0
1700118,I-200-20345-950927,Certified,2020-12-17,"Software Developers, Applications",Datanormus Llc,Chicago,California,71074.0,Illinois,12582032.0
1700119,I-200-20345-951604,Certified,2020-12-17,"Electronics Engineers, Except Computer","Western Digital Technologies, Inc.",Milpitas,California,117291.0,California,39029342.0
1700120,I-200-20345-950423,Certified,2020-12-17,"Medical Scientists, Except Epidemiologists",Ut Southwestern Medical Center,Dallas,California,53435.0,Texas,30029572.0
1700121,I-200-20345-948730,Certified,2020-12-17,Statisticians,"Capital One, National Association",Plano,California,84698.0,Texas,30029572.0
1700122,I-200-20345-950006,Certified,2020-12-17,Operations Research Analysts,"United Healthcare Services, Inc.",Plymouth,California,109741.0,Minnesota,5717184.0
1700123,I-200-20345-951646,Certified,2020-12-17,Biomedical Engineers,"Verathon, Inc.",Bothell,California,94994.0,Washington,7785786.0
1700124,I-200-20345-949968,Certified,2020-12-17,Biomedical Engineers,"Medical Imaging Solutions Usa, Llc.",Eagleville,California,91250.0,Pennsylvania,12972008.0
1700125,I-200-20345-951284,Certified,2020-12-17,"Business Teachers, Postsecondary",Providence College,Providence,California,130397.0,Rhode Island,1093734.0
1700126,I-200-20345-951630,Certified,2020-12-17,Software Quality Assurance Engineers And Testers,"Nyse Market (De), Inc.",New York,California,114962.0,New York,19677151.0
1700127,I-200-20345-950047,Certified,2020-12-17,Computer Systems Engineers/Architects,Accenture Llp,Reston,California,134722.0,Virginia,8683619.0
1700128,I-200-20345-949513,Certified,2020-12-17,Computer And Information Systems Managers,Amazon.com Services Llc,New York,California,181390.0,New York,19677151.0
1700129,I-200-20345-950426,Certified,2020-12-17,"Engineering Teachers, Postsecondary",The Curators Of The University Of Missouri,Columbia,California,63170.0,Missouri,6177957.0
1700130,I-200-20345-951672,Certified,2020-12-17,Software Quality Assurance Engineers And Testers,Aetion Inc.,New York,California,67766.0,New York,19677151.0
1700131,I-200-20345-950817,Certified,2020-12-17,"Software Developers, Systems Software",Screenbeam Inc,Santa Clara,California,145725.0,California,39029342.0
1700132,I-200-20345-948512,Certified,2020-12-17,"Software Developers, Applications",Microsoft Corporation,Redmond,California,92102.0,Washington,7785786.0
1700133,I-200-20345-950959,Certified,2020-12-17,"Software Developers, Applications",Deloitte Consulting Llp,Lake Mary,California,83512.0,Florida,22244823.0
1700134,I-200-20345-949024,Certified,2020-12-17,Electrical Engineers,"Polaris Industries, Inc.",Wyoming,California,69264.0,Minnesota,5717184.0
1700135,I-200-20345-948952,Certified,2020-12-17,"Software Developers, Applications","American Express Travel Related Services Company, Inc.",Phoenix,California,101109.0,Arizona,7359197.0
1700136,I-200-20346-951941,Certified,2020-12-17,Statisticians,"Citibank, N.a.",New York,California,89898.0,New York,19677151.0
1700137,I-200-20346-951890,Certified,2020-12-17,"Software Developers, Systems Software","Cisco Systems, Inc.",Tracy,California,111821.0,California,39029342.0
1700138,I-200-20345-949123,Certified,2020-12-17,Biostatisticians,"Gilead Sciences, Inc.",Foster City,California,103002.0,California,39029342.0
1700139,I-200-20346-952027,Certified,2020-12-17,Computer Systems Analysts,"Novartis Gene Therapies, Inc.",North Royalton,California,96054.0,Ohio,11756058.0
1700140,I-200-20345-951139,Certified,2020-12-17,"Software Developers, Applications",Google Llc,Kirkland,California,113110.0,Washington,7785786.0
1700141,I-200-20345-951729,Certified,2020-12-17,"Software Developers, Applications","Sm Logics, Inc.",Cincinnati,California,87194.0,Ohio,11756058.0
1700142,I-200-20345-948251,Certified,2020-12-17,Computer Systems Analysts,Evolutionary Systems Corp,Chicago,California,73882.0,Illinois,12582032.0
1700143,I-200-20345-948527,Certified,2020-12-17,"Software Developers, Applications","Fujitsu America, Inc.",New York,California,103414.0,New York,19677151.0
1700144,I-200-20345-950483,Certified,2020-12-17,"Medical Scientists, Except Epidemiologists","National Institutes Of Health, Hhs",Bethesda,California,64314.0,Maryland,6164660.0
1700145,I-200-20345-948559,Certified,2020-12-17,Database Administrators,"Umass Memorial Medical Center, Inc.",Worcester,California,97157.0,Massachusetts,6981974.0
1700146,I-200-20345-948577,Certified,2020-12-17,Bioinformatics Scientists,North Carolina State University,Raleigh,California,42890.0,North Carolina,10698973.0
1700147,I-200-20345-950887,Certified,2020-12-17,Civil Engineers,"Des Architects  Engineers, Inc.",Redwood City,California,77147.0,California,39029342.0
1700148,I-200-20345-949081,Certified,2020-12-17,Computer And Information Systems Managers,"Wizeline, Inc.",Irvine,California,129744.0,California,39029342.0
1700149,I-200-20345-948983,Certified,2020-12-17,"Software Developers, Applications","Molex, Llc",Lisle,California,104624.0,Illinois,12582032.0
1700150,I-200-20345-949270,Certified,2020-12-17,"Software Developers, Applications","Blackrock Financial Management, Inc.",Pittsburgh,California,95264.0,Pennsylvania,12972008.0
1700151,I-200-20345-950477,Certified,2020-12-17,"Software Developers, Applications",Synchrony Bank,Stamford,California,139922.0,Connecticut,3626205.0
1700152,I-200-20346-952310,Certified,2020-12-17,Information Security Analysts,"Ripple Labs, Inc.",San Francisco,California,122574.0,California,39029342.0
1700153,I-200-20345-948295,Certified,2020-12-17,"Software Developers, Applications",Krg Systems Llc,Mechanicsburg,California,74006.0,Pennsylvania,12972008.0
1700154,I-200-20345-948364,Certified,2020-12-17,Database Administrators,Ernst & Young U.s. Llp,Austin,California,91146.0,Texas,30029572.0
1700155,I-200-20345-948728,Certified,2020-12-17,"Software Developers, Applications","Xero, Inc.",New York,California,143936.0,New York,19677151.0
1700156,I-200-20345-951682,Certified,2020-12-17,Chemists,Chemicals Incorporated,Baytown,California,74963.0,Texas,30029572.0
1700157,I-200-20345-951175,Certified,2020-12-17,Computer Systems Engineers/Architects,Google Llc,New York,California,114962.0,New York,19677151.0
1700158,I-200-20345-951194,Certified,2020-12-17,"Software Developers, Applications","Blink Health Group, Llc",Kirkland,California,155106.0,Washington,7785786.0
1700159,I-200-20346-951894,Certified,2020-12-17,Computer And Information Systems Managers,A Medium Corporation,San Francisco,California,131560.0,California,39029342.0
1700160,I-200-20345-949558,Certified,2020-12-17,Farm And Home Management Advisors,University Of Arkansas At Pine Bluff,Pine Bluff,California,46363.0,Arkansas,3045637.0
1700161,I-200-20345-951273,Certified,2020-12-17,"Software Developers, Applications",Asrc Federal Highland Technologies,Reston,California,138819.0,Virginia,8683619.0
1700162,I-200-20345-948794,Certified,2020-12-17,Computer And Information Systems Managers,"Bkfs I Services, Llc",Jacksonville,California,105102.0,Florida,22244823.0
1700163,I-200-20345-951538,Certified,2020-12-17,"Medical Scientists, Except Epidemiologists",Trustees Of The University Of Pennsylvania,Philadelphia,California,64501.0,Pennsylvania,12972008.0
1700164,I-200-20345-950195,Certified,2020-12-17,Industrial Production Managers,"Cemex Southeast, Llc",Demopolis,California,111426.0,Alabama,5074296.0
1700165,I-200-20345-950525,Certified,2020-12-17,"Software Developers, Applications",Amazon.com Services Llc,Sunnyvale,California,151971.0,California,39029342.0
1700166,I-200-20345-949501,Certified,2020-12-17,"Software Developers, Applications","Aspen Technology, Inc.",Bedford,California,115939.0,Massachusetts,6981974.0
1700167,I-200-20346-951870,Certified,2020-12-17,Software Quality Assurance Engineers And Testers,"Noom, Inc",San Jose,California,163800.0,California,39029342.0
1700168,I-200-20345-950524,Certified,2020-12-17,Natural Sciences Managers,New England Baptist Hospital,Boston,California,64542.0,Massachusetts,6981974.0
1700169,I-200-20345-948438,Certified,2020-12-17,Electrical Engineers,Ford Motor Company,Troy,California,109637.0,Michigan,10034113.0
1700170,I-200-20345-950113,Certified,2020-12-17,"Software Developers, Applications","Neffects, Inc.",Maryland Heights,California,98779.0,Missouri,6177957.0
1700171,I-200-20345-951381,Certified,2020-12-17,"Software Developers, Applications","Amazon Web Services, Inc.",Nolensville,California,95368.0,Tennessee,7051339.0
1700172,I-200-20345-949122,Certified,2020-12-17,Computer And Information Systems Managers,Deloitte Consulting Llp,Seattle,California,116771.0,Washington,7785786.0
1700173,I-200-20345-948566,Certified,2020-12-17,Computer Systems Analysts,"Ksap Technologies, Inc",Atlanta,California,105643.0,Georgia,10912876.0
1700174,I-200-20345-948597,Certified,2020-12-17,"Software Developers, Applications",Microsoft Corporation,Redmond,California,92102.0,Washington,7785786.0
1700175,I-200-20345-950198,Certified,2020-12-17,Occupational Therapists,"Total Education Solutions, Inc.",Los Angeles,California,97947.0,California,39029342.0
1700176,I-200-20345-951034,Certified,2020-12-17,Statisticians,"Mufg Union Bank, N.a.",San Francisco,California,114326.0,California,39029342.0
1700177,I-200-20346-952062,Certified,2020-12-17,"Software Developers, Systems Software","Cisco Systems, Inc.",Richardson,California,110344.0,Texas,30029572.0
1700178,I-200-20345-948814,Certified,2020-12-17,"Electronics Engineers, Except Computer","Veoneer System Software, Inc.",Novi,California,111363.0,Michigan,10034113.0
1700179,I-200-20345-950605,Certified,2020-12-17,Chemists,Alcami Carolinas Corporation,Morrisville,California,74963.0,North Carolina,10698973.0
1700180,I-200-20345-949960,Certified,2020-12-17,Computer And Information Systems Managers,Great West Life & Annuity Insurance Company,Ellington,California,122970.0,Connecticut,3626205.0
1700181,I-200-20345-950922,Certified,2020-12-17,Auditors,"Rogers & Company Cpas, Pllc",Vienna,California,77750.0,Virginia,8683619.0
1700182,I-200-20345-950920,Certified,2020-12-17,Database Architects,"Nrrm, Llc",Saint Peters,California,82534.0,Missouri,6177957.0
1700183,I-200-20345-951624,Certified,2020-12-17,"Electronics Engineers, Except Computer","Western Digital Technologies, Inc.",Fremont,California,128586.0,California,39029342.0
1700184,I-200-20345-951097,Certified,2020-12-17,"Software Developers, Systems Software",Deloitte Consulting Llp,Sacramento,California,119018.0,California,39029342.0
1700185,I-200-20345-951728,Certified,2020-12-17,Accountants,Fred Hutchinson Cancer Research Center,Seattle,California,59030.0,Washington,7785786.0
1700186,I-200-20345-950200,Certified,2020-12-17,"Software Developers, Applications","Tamr, Inc.",Cambridge,California,96242.0,Massachusetts,6981974.0
1700187,I-200-20345-951134,Certified,2020-12-17,Information Technology Project Managers,Cgi Technologies And Solutions Inc.,Lafayette,California,36358.0,Louisiana,4590241.0
1700188,I-200-20345-949539,Certified,2020-12-17,Accountants And Auditors,De Sheng,El Monte,California,48173.0,California,39029342.0
1700189,I-200-20345-949618,Certified,2020-12-17,"Software Developers, Applications",Amgen Incorporated,Tampa,California,118040.0,Florida,22244823.0
1700190,I-200-20345-950988,Certified,2020-12-17,Accountants And Auditors,Goldman Sachs & Co. Llc,New York,California,82077.0,New York,19677151.0
